Region,Rt_avg_7days,Date_reference
Emilia-Romagna,1.05,2020-12-22
Friuli VG,0.91,2020-12-22
Lazio,0.98,2020-12-22
Liguria,1.02,2020-12-22
Lombardia,1.27,2020-12-22
Marche,0.93,2020-12-22
Molise,1.27,2020-12-22
Piemonte,0.95,2020-12-22
Puglia,1.00,2020-12-22
Sardegna,1.02,2020-12-22
Sicilia,1.04,2020-12-22
Toscana,0.90,2020-12-22
Trento,0.85,2020-12-22
Umbria,1.01,2020-12-22
Valle d'Aosta,1.07,2020-12-22
Veneto,0.97,2020-12-22
Abruzzo,1.18,2020-12-30
Basilicata,1.14,2020-12-30
Bolzano,1.50,2020-12-30
Calabria,1.05,2020-12-30
Campania,0.99,2020-12-30
Emilia-Romagna,1.15,2020-12-30
Friuli VG,0.94,2020-12-30
Lazio,1.10,2020-12-30
Liguria,1.15,2020-12-30
Lombardia,1.40,2020-12-30
Marche,0.97,2020-12-30
Molise,0.70,2020-12-30
Piemonte,1.14,2020-12-30
Puglia,1.18,2020-12-30
Sardegna,0.99,2020-12-30
Sicilia,1.19,2020-12-30
Toscana,1.01,2020-12-30
Trento,1.01,2020-12-30
Umbria,1.29,2020-12-30
Valle d'Aosta,1.19,2020-12-30
Veneto,0.96,2020-12-30
Abruzzo,1.05,2021-01-06
Basilicata,1.12,2021-01-06
Bolzano,1.03,2021-01-06
Calabria,1.02,2021-01-06
Campania,0.76,2021-01-06
Emilia-Romagna,0.97,2021-01-06
Friuli VG,0.88,2021-01-06
Lazio,0.94,2021-01-06
Liguria,0.99,2021-01-06
Lombardia,0.82,2021-01-06
Marche,0.98,2021-01-06
Molise,1.38,2021-01-06
Piemonte,1.04,2021-01-06
Puglia,1.08,2021-01-06
Sardegna,0.95,2021-01-06
Sicilia,1.27,2021-01-06
Toscana,0.98,2021-01-06
Trento,0.90,2021-01-06
Umbria,1.05,2021-01-06
Valle d'Aosta,1.12,2021-01-06
Veneto,0.81,2021-01-06
Abruzzo,0.81,2021-01-13
Basilicata,0.91,2021-01-13
Bolzano,0.80,2021-01-13
Calabria,0.82,2021-01-13
Campania,0.97,2021-01-13
Emilia-Romagna,0.77,2021-01-13
Friuli VG,0.68,2021-01-13
Lazio,0.73,2021-01-13
Liguria,0.87,2021-01-13
Lombardia,0.84,2021-01-13
Marche,0.88,2021-01-13
Molise,1.51,2021-01-13
Piemonte,0.82,2021-01-13
Puglia,0.90,2021-01-13
Sardegna,0.81,2021-01-13
Sicilia,0.98,2021-01-13
Toscana,0.95,2021-01-13
Trento,0.56,2021-01-13
Umbria,0.96,2021-01-13
Valle d'Aosta,0.82,2021-01-13
Veneto,0.61,2021-01-13
Abruzzo,0.99,2021-01-20
Basilicata,0.63,2021-01-20
Bolzano,1.06,2021-01-20
Calabria,0.81,2021-01-20
Campania,0.78,2021-01-20
Emilia-Romagna,0.83,2021-01-20
Friuli VG,1.03,2021-01-20
Lazio,0.80,2021-01-20
Liguria,0.95,2021-01-20
Lombardia,0.94,2021-01-20
Marche,0.95,2021-01-20
Molise,0.90,2021-01-20
Piemonte,0.78,2021-01-20
Puglia,0.91,2021-01-20
Sardegna,0.75,2021-01-20
Sicilia,0.73,2021-01-20
Toscana,0.98,2021-01-20
Trento,0.61,2021-01-20
Umbria,1.18,2021-01-20
Valle d'Aosta,0.85,2021-01-20
Veneto,0.63,2021-01-20
Abruzzo,1.22,2021-01-27
Basilicata,1.20,2021-01-27
Bolzano,1.25,2021-01-27
Calabria,0.81,2021-01-27
Campania,0.80,2021-01-27
Emilia-Romagna,0.94,2021-01-27
Friuli VG,0.98,2021-01-27
Lazio,0.96,2021-01-27
Liguria,1.08,2021-01-27
Lombardia,0.97,2021-01-27
Marche,0.94,2021-01-27
Molise,1.09,2021-01-27
Piemonte,0.93,2021-01-27
Puglia,1.05,2021-01-27
Sardegna,0.87,2021-01-27
Sicilia,0.66,2021-01-27
Toscana,1.10,2021-01-27
Trento,1.20,2021-01-27
Umbria,1.20,2021-01-27
Valle d'Aosta,0.77,2021-01-27
Veneto,0.71,2021-01-27
Abruzzo,1.17,2021-02-03
Basilicata,1.03,2021-02-03
Bolzano,1.16,2021-02-03
Calabria,0.76,2021-02-03
Campania,1.16,2021-02-03
Emilia-Romagna,1.06,2021-02-03
Friuli VG,0.80,2021-02-03
Lazio,0.95,2021-02-03
Liguria,1.08,2021-02-03
Lombardia,0.95,2021-02-03
Marche,0.91,2021-02-03
Molise,1.04,2021-02-03
Piemonte,0.96,2021-02-03
Puglia,1.00,2021-02-03
Sardegna,0.77,2021-02-03
Sicilia,0.73,2021-02-03
Toscana,1.20,2021-02-03
Trento,1.23,2021-02-03
Umbria,1.17,2021-02-03
Valle d'Aosta,0.92,2021-02-03
Veneto,0.81,2021-02-03
Abruzzo,1.13,2021-02-10
Basilicata,1.51,2021-02-10
Bolzano,0.92,2021-02-10
Calabria,1.01,2021-02-10
Campania,1.04,2021-02-10
Emilia-Romagna,1.10,2021-02-10
Friuli VG,0.83,2021-02-10
Lazio,0.94,2021-02-10
Liguria,0.94,2021-02-10
Lombardia,0.82,2021-02-10
Marche,0.98,2021-02-10
Molise,1.11,2021-02-10
Piemonte,1.02,2021-02-10
Puglia,0.95,2021-02-10
Sardegna,0.68,2021-02-10
Sicilia,0.71,2021-02-10
Toscana,1.19,2021-02-10
Trento,1.07,2021-02-10
Umbria,1.07,2021-02-10
Valle d'Aosta,0.94,2021-02-10
Veneto,0.97,2021-02-10
Abruzzo,0.96,2021-02-17
Basilicata,1.16,2021-02-17
Bolzano,0.75,2021-02-17
Calabria,0.81,2021-02-17
Campania,0.96,2021-02-17
Emilia-Romagna,1.13,2021-02-17
Friuli VG,0.92,2021-02-17
Lazio,0.98,2021-02-17
Liguria,0.96,2021-02-17
Lombardia,1.13,2021-02-17
Marche,1.08,2021-02-17
Molise,1.66,2021-02-17
Piemonte,1.15,2021-02-17
Puglia,0.93,2021-02-17
Sardegna,0.67,2021-02-17
Sicilia,0.79,2021-02-17
Toscana,1.18,2021-02-17
Trento,1.10,2021-02-17
Umbria,0.79,2021-02-17
Valle d'Aosta,1.21,2021-02-17
Veneto,1.08,2021-02-17
Abruzzo,1.05,2021-02-24
Basilicata,1.53,2021-02-24
Bolzano,0.61,2021-02-24
Calabria,0.83,2021-02-24
Campania,1.50,2021-02-24
Emilia-Romagna,1.34,2021-02-24
Friuli VG,1.39,2021-02-24
Lazio,1.31,2021-02-24
Liguria,1.13,2021-02-24
Lombardia,1.30,2021-02-24
Marche,1.08,2021-02-24
Molise,1.07,2021-02-24
Piemonte,1.41,2021-02-24
Puglia,1.23,2021-02-24
Sardegna,0.89,2021-02-24
Sicilia,1.00,2021-02-24
Toscana,1.23,2021-02-24
Trento,1.04,2021-02-24
Umbria,0.82,2021-02-24
Valle d'Aosta,1.40,2021-02-24
Veneto,1.28,2021-02-24
Abruzzo,0.95,2021-03-03
Basilicata,1.25,2021-03-03
Bolzano,0.59,2021-03-03
Calabria,1.36,2021-03-03
Campania,1.65,2021-03-03
Emilia-Romagna,1.18,2021-03-03
Friuli VG,1.42,2021-03-03
Lazio,1.09,2021-03-03
Liguria,1.06,2021-03-03
Lombardia,1.16,2021-03-03
Marche,1.19,2021-03-03
Molise,0.89,2021-03-03
Piemonte,1.33,2021-03-03
Puglia,1.24,2021-03-03
Sardegna,1.08,2021-03-03
Sicilia,1.05,2021-03-03
Toscana,1.09,2021-03-03
Trento,0.91,2021-03-03
Umbria,0.93,2021-03-03
Valle d'Aosta,1.42,2021-03-03
Veneto,1.25,2021-03-03
Abruzzo,0.87,2021-03-10
Basilicata,0.95,2021-03-10
Bolzano,0.78,2021-03-10
Calabria,1.37,2021-03-10
Campania,1.05,2021-03-10
Emilia-Romagna,0.98,2021-03-10
Friuli VG,1.23,2021-03-10
Lazio,0.99,2021-03-10
Liguria,1.00,2021-03-10
Lombardia,1.08,2021-03-10
Marche,1.15,2021-03-10
Molise,1.17,2021-03-10
Piemonte,1.17,2021-03-10
Puglia,1.17,2021-03-10
Sardegna,1.03,2021-03-10
Sicilia,0.99,2021-03-10
Toscana,1.10,2021-03-10
Trento,1.02,2021-03-10
Umbria,0.97,2021-03-10
Valle d'Aosta,1.75,2021-03-10
Veneto,1.23,2021-03-10
Abruzzo,0.81,2021-03-17
Basilicata,1.15,2021-03-17
Bolzano,0.80,2021-03-17
Calabria,1.33,2021-03-17
Campania,1.33,2021-03-17
Emilia-Romagna,0.83,2021-03-17
Friuli VG,0.98,2021-03-17
Lazio,0.98,2021-03-17
Liguria,1.02,2021-03-17
Lombardia,0.89,2021-03-17
Marche,1.04,2021-03-17
Molise,1.00,2021-03-17
Piemonte,0.96,2021-03-17
Puglia,1.09,2021-03-17
Sardegna,1.18,2021-03-17
Sicilia,1.08,2021-03-17
Toscana,1.08,2021-03-17
Trento,0.83,2021-03-17
Umbria,0.83,2021-03-17
Valle d'Aosta,1.52,2021-03-17
Veneto,1.12,2021-03-17
Abruzzo,0.89,2021-03-24
Basilicata,1.15,2021-03-24
Bolzano,0.91,2021-03-24
Calabria,0.93,2021-03-24
Campania,1.19,2021-03-24
Emilia-Romagna,0.81,2021-03-24
Friuli VG,0.79,2021-03-24
Lazio,0.90,2021-03-24
Liguria,1.19,2021-03-24
Lombardia,0.85,2021-03-24
Marche,0.86,2021-03-24
Molise,0.81,2021-03-24
Piemonte,0.90,2021-03-24
Puglia,1.06,2021-03-24
Sardegna,1.54,2021-03-24
Sicilia,1.22,2021-03-24
Toscana,1.02,2021-03-24
Trento,0.86,2021-03-24
Umbria,0.97,2021-03-24
Valle d'Aosta,1.39,2021-03-24
Veneto,0.96,2021-03-24
