Region,Rt_avg_14days,Rt_range_14days_lower,Rt_range_14days_upper,computation_time_range_start,computation_time_range_end
Valle d'Aosta,1.88,0.81,2.71,2021-11-03,2021-11-16
Veneto,1.33,1.20,1.44,2021-11-03,2021-11-16
Abruzzo,1.17,0.96,1.34,2021-11-10,2021-11-23
Basilicata,1.22,0.64,1.84,2021-11-10,2021-11-23
Bolzano,1.21,0.95,1.58,2021-11-10,2021-11-23
Calabria,1.02,0.85,1.26,2021-11-10,2021-11-23
Campania,1.08,0.96,1.22,2021-11-10,2021-11-23
Emilia R.,1.31,1.22,1.41,2021-11-10,2021-11-23
Friuli V.G.,1.07,0.82,1.31,2021-11-10,2021-11-23
Lazio,1.07,0.97,1.27,2021-11-10,2021-11-23
Liguria,1.34,1.11,1.54,2021-11-10,2021-11-23
Lombardia,1.32,1.04,1.46,2021-11-10,2021-11-23
Marche,1.26,0.99,1.59,2021-11-10,2021-11-23
Molise,1.64,0.54,3.12,2021-11-10,2021-11-23
Piemonte,1.29,1.15,1.42,2021-11-10,2021-11-23
Puglia,1.00,0.90,1.13,2021-11-10,2021-11-23
Sardegna,1.21,0.91,1.51,2021-11-10,2021-11-23
Sicilia,1.05,0.95,1.23,2021-11-10,2021-11-23
Toscana,1.08,0.99,1.24,2021-11-10,2021-11-23
Trento,1.37,0.99,1.75,2021-11-10,2021-11-23
Umbria,1.03,0.83,1.27,2021-11-10,2021-11-23
Valle d'Aosta,1.96,1.33,2.67,2021-11-10,2021-11-23
Veneto,1.35,1.22,1.43,2021-11-10,2021-11-23
Abruzzo,1.11,0.98,1.28,2021-11-16,2021-11-29
Basilicata,1.25,0.64,1.98,2021-11-16,2021-11-29
Bolzano,1.09,0.89,1.25,2021-11-16,2021-11-29
Calabria,1.11,0.86,1.34,2021-11-16,2021-11-29
Campania,1.05,0.96,1.14,2021-11-16,2021-11-29
Emilia R.,1.27,1.07,1.43,2021-11-16,2021-11-29
Friuli V.G.,1.05,0.81,1.24,2021-11-16,2021-11-29
Lazio,1.05,0.98,1.10,2021-11-16,2021-11-29
Liguria,1.23,1.06,1.45,2021-11-16,2021-11-29
Lombardia,1.24,1.00,1.47,2021-11-16,2021-11-29
Marche,1.29,1.00,1.55,2021-11-16,2021-11-29
Molise,1.48,0.54,3.13,2021-11-16,2021-11-29
Piemonte,1.33,1.24,1.44,2021-11-16,2021-11-29
Puglia,1.07,0.89,1.23,2021-11-16,2021-11-29
Sardegna,1.08,0.89,1.40,2021-11-16,2021-11-29
Sicilia,1.02,0.95,1.09,2021-11-16,2021-11-29
Toscana,1.14,0.98,1.28,2021-11-16,2021-11-29
Trento,1.40,1.13,1.74,2021-11-16,2021-11-29
Umbria,0.96,0.68,1.16,2021-11-16,2021-11-29
Valle d'Aosta,1.59,1.09,2.63,2021-11-16,2021-11-29
Veneto,1.31,1.11,1.44,2021-11-16,2021-11-29
Abruzzo,1.10,0.99,1.21,2021-11-24,2021-12-07
Basilicata,1.50,0.86,2.26,2021-11-24,2021-12-07
Bolzano,0.98,0.81,1.15,2021-11-24,2021-12-07
Calabria,1.14,0.91,1.43,2021-11-24,2021-12-07
Campania,1.08,0.99,1.17,2021-11-24,2021-12-07
Emilia R.,1.14,1.06,1.27,2021-11-24,2021-12-07
Friuli V.G.,1.01,0.88,1.14,2021-11-24,2021-12-07
Lazio,1.01,0.92,1.12,2021-11-24,2021-12-07
Liguria,1.16,1.03,1.27,2021-11-24,2021-12-07
Lombardia,1.18,1.13,1.23,2021-11-24,2021-12-07
Marche,1.20,0.90,1.49,2021-11-24,2021-12-07
Molise,0.77,0.16,1.74,2021-11-24,2021-12-07
Piemonte,1.32,1.18,1.43,2021-11-24,2021-12-07
Puglia,1.16,1.05,1.27,2021-11-24,2021-12-07
Sardegna,1.07,0.92,1.28,2021-11-24,2021-12-07
Sicilia,1.06,0.99,1.18,2021-11-24,2021-12-07
Toscana,1.22,1.10,1.31,2021-11-24,2021-12-07
Trento,1.32,1.16,1.50,2021-11-24,2021-12-07
Umbria,1.16,0.82,1.63,2021-11-24,2021-12-07
Valle d'Aosta,1.22,0.88,1.57,2021-11-24,2021-12-07
Veneto,1.18,1.08,1.35,2021-11-24,2021-12-07
Abruzzo,1.09,0.98,1.20,2021-11-30,2021-12-13
Basilicata,1.56,0.86,2.29,2021-11-30,2021-12-13
Bolzano,0.94,0.84,1.04,2021-11-30,2021-12-13
Calabria,1.17,1.01,1.35,2021-11-30,2021-12-13
Campania,1.08,0.97,1.18,2021-11-30,2021-12-13
Emilia R.,1.14,1.08,1.22,2021-11-30,2021-12-13
Friuli V.G.,1.02,0.92,1.12,2021-11-30,2021-12-13
Lazio,1.00,0.94,1.07,2021-11-30,2021-12-13
Liguria,1.20,1.07,1.27,2021-11-30,2021-12-13
Lombardia,1.14,1.04,1.23,2021-11-30,2021-12-13
Marche,1.12,0.90,1.38,2021-11-30,2021-12-13
Molise,0.75,0.16,1.63,2021-11-30,2021-12-13
Piemonte,1.32,1.25,1.41,2021-11-30,2021-12-13
Puglia,1.20,1.08,1.37,2021-11-30,2021-12-13
Sardegna,1.17,0.92,1.32,2021-11-30,2021-12-13
Sicilia,1.14,1.00,1.25,2021-11-30,2021-12-13
Toscana,1.22,1.15,1.29,2021-11-30,2021-12-13
Trento,1.26,1.08,1.50,2021-11-30,2021-12-13
Umbria,1.34,0.97,1.55,2021-11-30,2021-12-13
Valle d'Aosta,1.09,0.86,1.39,2021-11-30,2021-12-13
Veneto,1.15,1.11,1.22,2021-11-30,2021-12-13
Abruzzo,1.10,0.94,1.26,2021-12-07,2021-12-20
Basilicata,1.49,1.00,2.24,2021-12-07,2021-12-20
Bolzano,0.89,0.58,1.04,2021-12-07,2021-12-20
Calabria,1.16,0.92,1.38,2021-12-07,2021-12-20
Campania,1.15,0.97,1.33,2021-12-07,2021-12-20
Emilia R.,1.20,1.11,1.27,2021-12-07,2021-12-20
Friuli V.G.,1.00,0.91,1.10,2021-12-07,2021-12-20
Lazio,1.04,0.96,1.12,2021-12-07,2021-12-20
Liguria,1.15,0.86,1.31,2021-12-07,2021-12-20
Lombardia,1.25,1.12,1.41,2021-12-07,2021-12-20
Marche,1.17,0.94,1.38,2021-12-07,2021-12-20
Molise,0.99,0.32,2.23,2021-12-07,2021-12-20
Piemonte,1.31,1.21,1.40,2021-12-07,2021-12-20
Puglia,1.28,1.08,1.49,2021-12-07,2021-12-20
Sardegna,1.22,1.10,1.34,2021-12-07,2021-12-20
Sicilia,1.22,1.10,1.31,2021-12-07,2021-12-20
Toscana,1.30,1.14,1.58,2021-12-07,2021-12-20
Trento,1.20,1.06,1.39,2021-12-07,2021-12-20
Umbria,1.46,1.22,1.69,2021-12-07,2021-12-20
Valle d'Aosta,1.12,0.86,1.40,2021-12-07,2021-12-20
Veneto,1.14,1.04,1.21,2021-12-07,2021-12-20
Abruzzo,1.05,0.81,1.29,2021-12-15,2021-12-28
Basilicata,1.72,1.02,2.48,2021-12-15,2021-12-28
Bolzano,0.79,0.67,1.01,2021-12-15,2021-12-28
Calabria,1.05,0.87,1.30,2021-12-15,2021-12-28
Campania,1.58,1.20,2.28,2021-12-15,2021-12-28
Emilia R.,1.43,1.20,1.85,2021-12-15,2021-12-28
Friuli V.G.,1.09,0.96,1.40,2021-12-15,2021-12-28
Lazio,1.10,0.99,1.32,2021-12-15,2021-12-28
Liguria,1.12,1.00,1.25,2021-12-15,2021-12-28
Lombardia,1.81,1.32,2.35,2021-12-15,2021-12-28
Marche,1.20,0.98,1.37,2021-12-15,2021-12-28
Molise,1.27,0.31,2.40,2021-12-15,2021-12-28
Piemonte,1.50,1.21,2.09,2021-12-15,2021-12-28
Puglia,1.47,1.22,2.01,2021-12-15,2021-12-28
Sardegna,1.36,1.14,1.84,2021-12-15,2021-12-28
Sicilia,1.26,1.15,1.41,2021-12-15,2021-12-28
Toscana,1.50,1.27,1.70,2021-12-15,2021-12-28
Trento,1.43,1.10,2.39,2021-12-15,2021-12-28
Umbria,1.71,1.40,1.98,2021-12-15,2021-12-28
Valle d'Aosta,1.28,1.05,1.66,2021-12-15,2021-12-28
Veneto,1.15,1.08,1.35,2021-12-15,2021-12-28
Abruzzo,1.15,0.61,1.53,2021-12-22,2022-01-04
Basilicata,2.01,1.36,2.49,2021-12-22,2022-01-04
Bolzano,1.08,0.72,1.39,2021-12-22,2022-01-04
Calabria,1.02,0.57,1.32,2021-12-22,2022-01-04
Campania,1.74,0.73,2.33,2021-12-22,2022-01-04
Emilia R.,1.63,1.39,1.87,2021-12-22,2022-01-04
Friuli V.G.,1.32,0.94,1.64,2021-12-22,2022-01-04
Lazio,1.00,0.59,1.23,2021-12-22,2022-01-04
Liguria,1.12,0.69,1.30,2021-12-22,2022-01-04
Lombardia,1.95,1.46,2.24,2021-12-22,2022-01-04
Marche,1.09,0.82,1.39,2021-12-22,2022-01-04
Molise,1.66,0.71,2.63,2021-12-22,2022-01-04
Piemonte,1.59,1.20,1.92,2021-12-22,2022-01-04
Puglia,1.68,1.32,2.05,2021-12-22,2022-01-04
Sardegna,1.54,0.97,1.98,2021-12-22,2022-01-04
Sicilia,1.17,0.72,1.49,2021-12-22,2022-01-04
Toscana,1.47,1.20,1.73,2021-12-22,2022-01-04
Trento,1.86,1.17,2.29,2021-12-22,2022-01-04
Umbria,1.41,0.74,1.92,2021-12-22,2022-01-04
Valle d'Aosta,1.48,1.16,1.80,2021-12-22,2022-01-04
Veneto,1.25,1.11,1.36,2021-12-22,2022-01-04
Abruzzo,0.97,0.16,1.69,2021-12-29,2022-01-11
Basilicata,1.59,0.81,2.50,2021-12-29,2022-01-11
Bolzano,1.02,0.31,1.46,2021-12-29,2022-01-11
Calabria,0.85,0.46,1.45,2021-12-29,2022-01-11
Campania,1.09,0.30,2.28,2021-12-29,2022-01-11
Emilia R.,1.38,1.06,1.89,2021-12-29,2022-01-11
Friuli V.G.,1.31,0.56,1.86,2021-12-29,2022-01-11
Lazio,0.80,0.61,1.17,2021-12-29,2022-01-11
Liguria,1.02,0.73,1.44,2021-12-29,2022-01-11
Lombardia,1.47,1.03,2.17,2021-12-29,2022-01-11
Marche,0.99,0.78,1.53,2021-12-29,2022-01-11
Molise,1.40,0.46,2.66,2021-12-29,2022-01-11
Piemonte,1.31,1.06,1.90,2021-12-29,2022-01-11
Puglia,1.50,1.13,1.96,2021-12-29,2022-01-11
Sardegna,1.29,0.68,2.03,2021-12-29,2022-01-11
Sicilia,0.80,0.36,1.47,2021-12-29,2022-01-11
Toscana,1.15,0.80,1.51,2021-12-29,2022-01-11
Trento,1.89,1.53,2.30,2021-12-29,2022-01-11
Umbria,1.08,0.84,1.49,2021-12-29,2022-01-11
Valle d'Aosta,1.41,1.05,1.77,2021-12-29,2022-01-11
Veneto,1.24,1.06,1.39,2021-12-29,2022-01-11
Abruzzo,0.66,0.19,1.24,2022-01-05,2022-01-18
Basilicata,0.88,0.39,1.55,2022-01-05,2022-01-18
Bolzano,0.53,0.16,1.18,2022-01-05,2022-01-18
Calabria,0.57,0.42,0.77,2022-01-05,2022-01-18
Campania,0.59,0.44,0.80,2022-01-05,2022-01-18
Emilia R.,1.09,0.97,1.25,2022-01-05,2022-01-18
Friuli V.G.,0.96,0.41,1.48,2022-01-05,2022-01-18
Lazio,0.80,0.64,1.11,2022-01-05,2022-01-18
Liguria,1.09,0.82,1.35,2022-01-05,2022-01-18
Lombardia,0.95,0.70,1.29,2022-01-05,2022-01-18
Marche,1.62,0.83,2.76,2022-01-05,2022-01-18
Molise,1.06,0.43,1.96,2022-01-05,2022-01-18
Piemonte,0.96,0.89,1.08,2022-01-05,2022-01-18
Puglia,1.21,1.07,1.61,2022-01-05,2022-01-18
Sardegna,0.85,0.54,1.26,2022-01-05,2022-01-18
Sicilia,0.53,0.37,0.76,2022-01-05,2022-01-18
Toscana,0.97,0.86,1.19,2022-01-05,2022-01-18
Trento,1.51,1.30,1.90,2022-01-05,2022-01-18
Umbria,0.91,0.70,1.45,2022-01-05,2022-01-18
Valle d'Aosta,1.07,0.78,1.50,2022-01-05,2022-01-18
Veneto,1.14,1.06,1.26,2022-01-05,2022-01-18
Abruzzo,0.66,0.32,1.14,2022-01-12,2022-01-25
Basilicata,0.53,0.39,0.85,2022-01-12,2022-01-25
Bolzano,0.42,0.24,0.67,2022-01-12,2022-01-25
Calabria,0.61,0.48,0.84,2022-01-12,2022-01-25
Campania,0.76,0.68,0.91,2022-01-12,2022-01-25
Emilia R.,1.04,0.98,1.12,2022-01-12,2022-01-25
Friuli V.G.,0.74,0.44,1.09,2022-01-12,2022-01-25
Lazio,1.22,0.75,1.71,2022-01-12,2022-01-25
Liguria,1.23,1.05,1.40,2022-01-12,2022-01-25
Lombardia,0.71,0.62,0.87,2022-01-12,2022-01-25
Marche,1.94,1.37,2.53,2022-01-12,2022-01-25
Molise,1.34,0.47,2.32,2022-01-12,2022-01-25
Piemonte,0.76,0.57,0.94,2022-01-12,2022-01-25
Puglia,1.30,1.01,1.57,2022-01-12,2022-01-25
Sardegna,0.77,0.66,0.86,2022-01-12,2022-01-25
Sicilia,0.88,0.71,1.15,2022-01-12,2022-01-25
Toscana,1.14,1.08,1.24,2022-01-12,2022-01-25
Trento,1.27,1.10,1.38,2022-01-12,2022-01-25
Umbria,1.01,0.68,1.77,2022-01-12,2022-01-25
Valle d'Aosta,0.80,0.59,1.09,2022-01-12,2022-01-25
Veneto,1.10,0.99,1.18,2022-01-12,2022-01-25
Abruzzo,1.04,0.59,1.62,2022-01-19,2022-02-01
Basilicata,0.80,0.60,1.19,2022-01-19,2022-02-01
Bolzano,0.48,0.31,0.60,2022-01-19,2022-02-01
Calabria,0.85,0.52,1.13,2022-01-19,2022-02-01
Campania,0.80,0.73,0.92,2022-01-19,2022-02-01
Emilia R.,0.90,0.70,1.13,2022-01-19,2022-02-01
Friuli V.G.,0.76,0.61,0.98,2022-01-19,2022-02-01
Lazio,1.10,0.80,1.40,2022-01-19,2022-02-01
Liguria,1.02,0.80,1.31,2022-01-19,2022-02-01
Lombardia,0.80,0.70,0.91,2022-01-19,2022-02-01
Marche,1.57,1.23,2.34,2022-01-19,2022-02-01
Molise,1.47,0.80,2.30,2022-01-19,2022-02-01
Piemonte,0.60,0.53,0.74,2022-01-19,2022-02-01
Puglia,1.28,0.98,1.61,2022-01-19,2022-02-01
Sardegna,0.82,0.73,0.93,2022-01-19,2022-02-01
Sicilia,0.87,0.69,0.99,2022-01-19,2022-02-01
Toscana,1.05,0.94,1.13,2022-01-19,2022-02-01
Trento,1.00,0.77,1.33,2022-01-19,2022-02-01
Umbria,1.12,0.70,1.78,2022-01-19,2022-02-01
Valle d'Aosta,0.68,0.55,0.80,2022-01-19,2022-02-01
Veneto,0.96,0.82,1.14,2022-01-19,2022-02-01
Abruzzo,1.14,0.81,1.37,2022-01-26,2022-02-08
Basilicata,0.89,0.69,1.08,2022-01-26,2022-02-08
Bolzano,0.30,0.00,0.57,2022-01-26,2022-02-08
Calabria,0.86,0.64,1.05,2022-01-26,2022-02-08
Campania,0.85,0.76,0.94,2022-01-26,2022-02-08
Emilia R.,0.69,0.61,0.85,2022-01-26,2022-02-08
Friuli V.G.,0.96,0.65,1.18,2022-01-26,2022-02-08
Lazio,0.91,0.78,1.05,2022-01-26,2022-02-08
Liguria,0.79,0.66,1.00,2022-01-26,2022-02-08
Lombardia,0.68,0.61,0.80,2022-01-26,2022-02-08
Marche,1.20,0.74,1.58,2022-01-26,2022-02-08
Molise,1.20,0.74,1.58,2022-01-26,2022-02-08
Piemonte,0.56,0.53,0.60,2022-01-26,2022-02-08
Puglia,0.83,0.61,1.21,2022-01-26,2022-02-08
Sardegna,0.89,0.75,1.08,2022-01-26,2022-02-08
Sicilia,0.87,0.76,1.05,2022-01-26,2022-02-08
Toscana,0.88,0.77,1.05,2022-01-26,2022-02-08
Trento,0.74,0.61,0.96,2022-01-26,2022-02-08
Umbria,1.11,0.83,1.64,2022-01-26,2022-02-08
Valle d'Aosta,0.55,0.33,0.76,2022-01-26,2022-02-08
Veneto,0.81,0.75,0.93,2022-01-26,2022-02-08
Abruzzo,1.14,0.99,1.32,2022-02-02,2022-02-15
Basilicata,0.87,0.65,1.09,2022-02-02,2022-02-15
Bolzano,0.73,0.64,1.05,2022-02-02,2022-02-15
Calabria,0.80,0.57,1.07,2022-02-02,2022-02-15
Campania,0.87,0.76,0.98,2022-02-02,2022-02-15
Emilia R.,0.58,0.52,0.64,2022-02-02,2022-02-15
Friuli V.G.,0.93,0.74,1.18,2022-02-02,2022-02-15
Lazio,0.86,0.67,1.03,2022-02-02,2022-02-15
Liguria,0.68,0.63,0.76,2022-02-02,2022-02-15
Lombardia,0.62,0.59,0.73,2022-02-02,2022-02-15
Marche,0.81,0.50,1.33,2022-02-02,2022-02-15
Molise,1.30,0.64,2.21,2022-02-02,2022-02-15
Piemonte,0.54,0.47,0.65,2022-02-02,2022-02-15
Puglia,0.94,0.90,1.06,2022-02-02,2022-02-15
Sardegna,0.87,0.62,1.09,2022-02-02,2022-02-15
Sicilia,0.98,0.76,1.25,2022-02-02,2022-02-15
Toscana,0.73,0.65,0.86,2022-02-02,2022-02-15
Trento,0.63,0.56,0.75,2022-02-02,2022-02-15
Umbria,1.03,0.80,1.56,2022-02-02,2022-02-15
Valle d'Aosta,0.46,0.32,0.69,2022-02-02,2022-02-15
Veneto,0.76,0.71,0.86,2022-02-02,2022-02-15
Abruzzo,1.08,0.95,1.22,2022-02-09,2022-02-22
Basilicata,0.79,0.63,0.96,2022-02-09,2022-02-22
Bolzano,0.79,0.63,0.95,2022-02-09,2022-02-22
Calabria,1.19,0.64,1.75,2022-02-09,2022-02-22
Campania,0.87,0.77,1.04,2022-02-09,2022-02-22
Emilia R.,0.59,0.51,0.84,2022-02-09,2022-02-22
Friuli V.G.,0.76,0.69,0.89,2022-02-09,2022-02-22
Lazio,0.87,0.69,1.07,2022-02-09,2022-02-22
Liguria,0.71,0.63,0.93,2022-02-09,2022-02-22
Lombardia,0.69,0.60,0.94,2022-02-09,2022-02-22
Marche,0.58,0.39,0.86,2022-02-09,2022-02-22
Molise,1.12,0.50,1.97,2022-02-09,2022-02-22
Piemonte,0.57,0.47,0.81,2022-02-09,2022-02-22
Puglia,0.81,0.67,1.05,2022-02-09,2022-02-22
Sardegna,0.90,0.65,1.18,2022-02-09,2022-02-22
Sicilia,1.06,0.97,1.15,2022-02-09,2022-02-22
Toscana,0.71,0.64,0.95,2022-02-09,2022-02-22
Trento,0.67,0.56,0.88,2022-02-09,2022-02-22
Umbria,1.01,0.61,1.92,2022-02-09,2022-02-22
Valle d'Aosta,0.60,0.34,1.36,2022-02-09,2022-02-22
Veneto,0.81,0.71,1.00,2022-02-09,2022-02-22
Abruzzo,1.04,0.92,1.16,2022-02-16,2022-03-01
Basilicata,0.83,0.61,1.22,2022-02-16,2022-03-01
Bolzano,0.76,0.60,0.94,2022-02-16,2022-03-01
Calabria,1.26,0.93,1.58,2022-02-16,2022-03-01
Campania,0.88,0.81,0.99,2022-02-16,2022-03-01
Emilia R.,0.70,0.55,0.93,2022-02-16,2022-03-01
Friuli V.G.,0.72,0.66,0.79,2022-02-16,2022-03-01
Lazio,0.92,0.85,1.01,2022-02-16,2022-03-01
Liguria,0.78,0.65,0.93,2022-02-16,2022-03-01
Lombardia,0.83,0.68,0.96,2022-02-16,2022-03-01
Marche,0.78,0.40,1.17,2022-02-16,2022-03-01
Molise,1.14,0.50,2.00,2022-02-16,2022-03-01
Piemonte,0.67,0.52,0.90,2022-02-16,2022-03-01
Puglia,0.91,0.73,1.09,2022-02-16,2022-03-01
Sardegna,0.83,0.74,0.93,2022-02-16,2022-03-01
Sicilia,0.98,0.93,1.06,2022-02-16,2022-03-01
Toscana,0.79,0.66,0.93,2022-02-16,2022-03-01
Trento,0.72,0.63,0.86,2022-02-16,2022-03-01
Umbria,1.17,0.55,2.35,2022-02-16,2022-03-01
Valle d'Aosta,0.80,0.37,1.25,2022-02-16,2022-03-01
Veneto,0.87,0.80,0.92,2022-02-16,2022-03-01
Abruzzo,0.98,0.85,1.29,2022-02-23,2022-03-08
Basilicata,0.99,0.61,1.54,2022-02-23,2022-03-08
Bolzano,0.85,0.59,1.42,2022-02-23,2022-03-08
Calabria,0.98,0.59,1.45,2022-02-23,2022-03-08
Campania,0.96,0.81,1.26,2022-02-23,2022-03-08
Emilia R.,0.88,0.70,1.26,2022-02-23,2022-03-08
Friuli V.G.,0.80,0.65,1.18,2022-02-23,2022-03-08
Lazio,0.96,0.79,1.35,2022-02-23,2022-03-08
Liguria,0.89,0.73,1.20,2022-02-23,2022-03-08
Lombardia,0.94,0.83,1.23,2022-02-23,2022-03-08
Marche,0.88,0.47,1.11,2022-02-23,2022-03-08
Molise,1.26,0.45,2.21,2022-02-23,2022-03-08
Piemonte,0.81,0.64,1.17,2022-02-23,2022-03-08
Puglia,1.05,0.94,1.32,2022-02-23,2022-03-08
Sardegna,0.93,0.70,1.48,2022-02-23,2022-03-08
Sicilia,1.02,0.91,1.28,2022-02-23,2022-03-08
Toscana,0.93,0.81,1.28,2022-02-23,2022-03-08
Trento,0.81,0.67,1.17,2022-02-23,2022-03-08
Umbria,1.64,0.67,3.21,2022-02-23,2022-03-08
Valle d'Aosta,0.95,0.54,1.59,2022-02-23,2022-03-08
Veneto,0.93,0.80,1.24,2022-02-23,2022-03-08
Abruzzo,1.10,0.86,1.41,2022-03-02,2022-03-15
Basilicata,1.19,0.88,1.59,2022-03-02,2022-03-15
Bolzano,1.10,0.72,1.32,2022-03-02,2022-03-15
Calabria,0.84,0.61,1.20,2022-03-02,2022-03-15
Campania,1.16,0.93,1.51,2022-03-02,2022-03-15
Emilia R.,1.11,0.84,1.44,2022-03-02,2022-03-15
Friuli V.G.,1.05,0.70,1.47,2022-03-02,2022-03-15
Lazio,1.17,0.81,1.51,2022-03-02,2022-03-15
Liguria,1.06,0.81,1.36,2022-03-02,2022-03-15
Lombardia,1.13,0.88,1.47,2022-03-02,2022-03-15
Marche,1.11,0.48,2.90,2022-03-02,2022-03-15
Molise,1.13,0.36,2.15,2022-03-02,2022-03-15
Piemonte,1.02,0.73,1.49,2022-03-02,2022-03-15
Puglia,1.20,0.95,1.57,2022-03-02,2022-03-15
Sardegna,1.16,0.81,1.43,2022-03-02,2022-03-15
Sicilia,1.12,0.94,1.27,2022-03-02,2022-03-15
Toscana,1.16,0.85,1.53,2022-03-02,2022-03-15
Trento,1.00,0.72,1.38,2022-03-02,2022-03-15
Umbria,2.01,0.99,2.90,2022-03-02,2022-03-15
Valle d'Aosta,1.06,0.52,1.74,2022-03-02,2022-03-15
Veneto,1.09,0.84,1.40,2022-03-02,2022-03-15
Abruzzo,1.24,1.08,1.34,2022-03-09,2022-03-22
Basilicata,1.23,1.04,1.44,2022-03-09,2022-03-22
Bolzano,1.10,0.84,1.31,2022-03-09,2022-03-22
Calabria,1.01,0.78,1.46,2022-03-09,2022-03-22
Campania,1.29,1.13,1.42,2022-03-09,2022-03-22
Emilia R.,1.25,1.09,1.36,2022-03-09,2022-03-22
Friuli V.G.,1.26,1.06,1.36,2022-03-09,2022-03-22
Lazio,1.24,1.03,1.37,2022-03-09,2022-03-22
Liguria,1.09,0.84,1.25,2022-03-09,2022-03-22
Lombardia,1.28,1.12,1.36,2022-03-09,2022-03-22
Marche,0.87,0.60,1.18,2022-03-09,2022-03-22
Molise,1.12,0.37,2.06,2022-03-09,2022-03-22
Piemonte,1.21,0.93,1.40,2022-03-09,2022-03-22
Puglia,1.35,1.17,1.47,2022-03-09,2022-03-22
Sardegna,1.21,0.91,1.34,2022-03-09,2022-03-22
Sicilia,1.07,0.69,1.23,2022-03-09,2022-03-22
Toscana,1.31,1.17,1.40,2022-03-09,2022-03-22
Trento,1.17,0.96,1.38,2022-03-09,2022-03-22
Umbria,1.88,1.41,2.37,2022-03-09,2022-03-22
Valle d'Aosta,1.18,0.75,1.87,2022-03-09,2022-03-22
Veneto,1.25,1.11,1.37,2022-03-09,2022-03-22
Abruzzo,1.11,0.95,1.29,2022-03-16,2022-03-29
Basilicata,1.16,0.96,1.39,2022-03-16,2022-03-29
Bolzano,1.08,0.84,1.31,2022-03-16,2022-03-29
Calabria,1.21,0.83,1.54,2022-03-16,2022-03-29
Campania,1.14,0.90,1.44,2022-03-16,2022-03-29
Emilia R.,1.22,1.15,1.32,2022-03-16,2022-03-29
Friuli V.G.,1.22,1.09,1.35,2022-03-16,2022-03-29
Lazio,1.07,0.86,1.36,2022-03-16,2022-03-29
Liguria,1.02,0.73,1.75,2022-03-16,2022-03-29
Lombardia,1.19,1.00,1.36,2022-03-16,2022-03-29
Marche,0.68,0.40,0.91,2022-03-16,2022-03-29
Molise,1.18,0.43,2.16,2022-03-16,2022-03-29
Piemonte,1.17,0.99,1.40,2022-03-16,2022-03-29
Puglia,1.25,1.05,1.45,2022-03-16,2022-03-29
Sardegna,1.05,0.88,1.34,2022-03-16,2022-03-29
Sicilia,0.83,0.66,1.18,2022-03-16,2022-03-29
Toscana,1.17,0.98,1.40,2022-03-16,2022-03-29
Trento,1.19,1.11,1.27,2022-03-16,2022-03-29
Umbria,1.65,1.41,2.04,2022-03-16,2022-03-29
Valle d'Aosta,1.26,0.80,1.75,2022-03-16,2022-03-29
Veneto,1.23,1.12,1.34,2022-03-16,2022-03-29
Abruzzo,0.98,0.87,1.23,2022-03-23,2022-04-05
Basilicata,0.99,0.69,1.32,2022-03-23,2022-04-05
Bolzano,1.06,0.88,1.31,2022-03-23,2022-04-05
Calabria,1.35,1.06,1.64,2022-03-23,2022-04-05
Campania,0.89,0.70,1.14,2022-03-23,2022-04-05
Emilia R.,1.13,1.07,1.21,2022-03-23,2022-04-05
Friuli V.G.,1.08,1.00,1.23,2022-03-23,2022-04-05
Lazio,0.95,0.87,1.05,2022-03-23,2022-04-05
Liguria,1.36,0.73,1.96,2022-03-23,2022-04-05
Lombardia,0.94,0.79,1.17,2022-03-23,2022-04-05
Marche,0.90,0.41,1.42,2022-03-23,2022-04-05
Molise,1.29,0.43,2.40,2022-03-23,2022-04-05
Piemonte,1.06,0.96,1.17,2022-03-23,2022-04-05
Puglia,1.01,0.91,1.21,2022-03-23,2022-04-05
Sardegna,0.86,0.65,1.03,2022-03-23,2022-04-05
Sicilia,0.76,0.64,0.88,2022-03-23,2022-04-05
Toscana,0.96,0.88,1.14,2022-03-23,2022-04-05
Trento,1.10,0.98,1.22,2022-03-23,2022-04-05
Umbria,1.51,1.06,1.98,2022-03-23,2022-04-05
Valle d'Aosta,1.25,0.91,1.71,2022-03-23,2022-04-05
Veneto,1.09,1.01,1.22,2022-03-23,2022-04-05
Abruzzo,1.01,0.84,1.25,2022-03-30,2022-04-12
Basilicata,0.79,0.60,1.07,2022-03-30,2022-04-12
Bolzano,0.93,0.82,1.11,2022-03-30,2022-04-12
Calabria,1.25,0.89,1.59,2022-03-30,2022-04-12
Campania,0.78,0.65,0.94,2022-03-30,2022-04-12
Emilia R.,1.05,0.98,1.12,2022-03-30,2022-04-12
Friuli V.G.,1.01,0.96,1.08,2022-03-30,2022-04-12
Lazio,0.90,0.79,1.05,2022-03-30,2022-04-12
Liguria,1.46,1.16,1.95,2022-03-30,2022-04-12
Lombardia,0.99,0.95,1.05,2022-03-30,2022-04-12
Marche,1.02,0.71,1.40,2022-03-30,2022-04-12
Molise,1.42,0.69,2.40,2022-03-30,2022-04-12
Piemonte,1.03,0.91,1.15,2022-03-30,2022-04-12
Puglia,0.87,0.78,0.97,2022-03-30,2022-04-12
Sardegna,0.82,0.66,1.16,2022-03-30,2022-04-12
Sicilia,0.75,0.69,0.81,2022-03-30,2022-04-12
Toscana,0.88,0.83,0.99,2022-03-30,2022-04-12
