,data,nuovi_positivi,nuovi_positivi_Tikhonov,Rt,Rt_interv_cred_min,Rt_interv_cred_max
84,2020-05-18 23:59:00,451,711.7089407370659,0.6855137674068642,0.6335754764783852,0.7353563314976668
85,2020-05-19 23:59:00,813,677.7519453934297,0.6868734893752775,0.6340916386023261,0.7373677400799872
86,2020-05-20 23:59:00,665,648.0510564026097,0.6911404892292169,0.6371141299089226,0.7435546266975981
87,2020-05-21 23:59:00,642,620.9043638340218,0.6967088717503427,0.6419519623803681,0.7511876954936699
88,2020-05-22 23:59:00,652,594.928256922492,0.7026416881246491,0.6471829785986317,0.7585989387902647
89,2020-05-23 23:59:00,669,569.4874767184872,0.7060270688756078,0.6458032882810799,0.762977985368928
90,2020-05-24 23:59:00,531,544.9142332540232,0.7099722704444833,0.6510529962948443,0.7692766705142805
91,2020-05-25 23:59:00,300,522.1566259329879,0.7137504799034415,0.6557169853016863,0.7762554283943635
92,2020-05-26 23:59:00,397,501.4318761494759,0.718306417020111,0.6546546623581662,0.7805010260205659
93,2020-05-27 23:59:00,584,481.0187309747744,0.7227198435655202,0.6573929605002593,0.7876114492206701
94,2020-05-28 23:59:00,593,458.2714693921788,0.7214682501060062,0.6556910710581996,0.7881070999138331
95,2020-05-29 23:59:00,516,431.67818978852915,0.7123702027209377,0.6457348149134082,0.7802645814667194
96,2020-05-30 23:59:00,416,401.8892866366058,0.6942617969232481,0.6273169880437854,0.7627477597723066
97,2020-05-31 23:59:00,355,371.39863737502253,0.6727563800057275,0.6073516729208893,0.7417329313157227
98,2020-06-01 23:59:00,178,343.38161124812575,0.6546704940861795,0.5889122245105948,0.726965742870096
99,2020-06-02 23:59:00,318,320.3918993241417,0.6438750468560592,0.5751523637770188,0.7150281303088322
100,2020-06-03 23:59:00,321,303.22242037977173,0.6447750801387486,0.573980565072334,0.7189396385717578
101,2020-06-04 23:59:00,177,291.419993222656,0.6557819999052175,0.5787045221020071,0.730172797023531
102,2020-06-05 23:59:00,518,283.82389652342425,0.6775790048603572,0.6005203930446628,0.7564685343957397
103,2020-06-06 23:59:00,270,278.92668806861326,0.7035094299334563,0.6225561622848131,0.7886915271030457
104,2020-06-07 23:59:00,197,276.3792452987703,0.7329990591724869,0.646120152541914,0.8183483510421262
105,2020-06-08 23:59:00,280,276.1540103698301,0.7693654752672259,0.6792297832114285,0.8605981010218408
106,2020-06-09 23:59:00,283,277.7975102342952,0.8101095161247328,0.7166580423733173,0.9055291762112588
107,2020-06-10 23:59:00,202,280.47668867127345,0.8478764058505427,0.7507375775767275,0.9502261841933184
108,2020-06-11 23:59:00,379,282.98676897596783,0.8850482680486199,0.7854161913515292,0.9908214392521848
109,2020-06-12 23:59:00,163,283.70705082850134,0.9122095604586283,0.8072204232464457,1.0186319184797112
110,2020-06-13 23:59:00,346,281.3415229023371,0.921956671173658,0.8203793533760037,1.0333103434425417
111,2020-06-14 23:59:00,338,274.6993357885203,0.9177466786127665,0.8116327244980681,1.025668119617905
112,2020-06-15 23:59:00,303,263.6823574203484,0.8960896836871598,0.7874147900190098,1.0037104271421755
113,2020-06-16 23:59:00,210,249.6260870326578,0.8634644755912193,0.7609220497398335,0.9725623430120777
114,2020-06-17 23:59:00,329,235.0076234889472,0.8275875469122639,0.7225666547021282,0.9328274320823108
115,2020-06-18 23:59:00,333,222.78042881491933,0.804908975070649,0.6965061355257602,0.9063755243133655
116,2020-06-19 23:59:00,251,216.10534703589053,0.8008202301291317,0.6982164822131336,0.9144576775840036
117,2020-06-20 23:59:00,262,217.15173840695,0.8287430026852199,0.7218924401184718,0.9360049607629467
118,2020-06-21 23:59:00,224,224.81635370809093,0.8834024731154894,0.7725545855534607,1.0017314393957473
119,2020-06-22 23:59:00,218,236.08331666701457,0.9491505434505432,0.8300373308361728,1.0687567088658727
120,2020-06-23 23:59:00,122,246.915597621706,1.0104659818295063,0.8815336863998628,1.1316522494912902
121,2020-06-24 23:59:00,190,253.15467632398153,1.0445835339929994,0.9145157579647901,1.1695220772860242
122,2020-06-25 23:59:00,296,251.5710037270387,1.0428832885375454,0.9181322048769068,1.1719496395796496
123,2020-06-26 23:59:00,259,242.25363657691315,1.001218185576417,0.8728146863943743,1.124708003168836
124,2020-06-27 23:59:00,175,227.76141860250178,0.9440841735271076,0.825067362082982,1.0663170304797396
125,2020-06-28 23:59:00,174,211.8298719259004,0.8833051958118658,0.7677689029562389,1.0018009984780127
126,2020-06-29 23:59:00,126,197.95062559173633,0.8347819870973424,0.7225411248407221,0.9577879247100327
127,2020-06-30 23:59:00,142,188.47845001548933,0.8083337993143165,0.6996706028750922,0.9292987471399161
128,2020-07-01 23:59:00,187,184.11660357241666,0.8101740466420033,0.6965192138129961,0.9281788845050588
129,2020-07-02 23:59:00,201,184.12168345653623,0.8325566824749,0.7117992781680502,0.9509316841925096
